L1,L2,L3,L4,L5,Mirapolis L4,"Ответ Агроэко L4 в «Агроэко»
Офис
Масс","ФИО ""Агроэко""","Комментарии/уточнения
Офис
Масс
Первичные",Комментарии со встреч,Комментарии со встреч (Адаптация/Подбор - Офис),"Проблема текущего состояния
Офис
Масс
Первичные","Предожение по решению /улучшению HCM 
Офис
Масс
Первичные",Функциональные требования,Инициирующее событие,Исполнитель,Описание шага,Действие в системе,Функциональные требования к процессу L2,"Функциональные требования к процессу L2 (старая сокращенная версия, оставила для того, чтобы проще было брать формулировки для редактирования колонки S)",Валидация,Комментарий (нужна доработка/есть в коробке),status
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.1. Подготовка документации,2.4.1.1. Формирование согласия на обработку персональных данных,2.4.1.1.1. Подготовка типовой формы согласия,Да,"Офис: требуется внедрение Mirapolis
_____
Масс: требуется внедрение Mirapolis",Филимонова,"подписываем только на этапе СБ, когда идет проверка______________подписываем только на этапе СБ, когда идет проверка______________подписываем только на этапе СБ, когда идет проверка","Будет отправляться по нажатию на кнопку в системе

Есть пожелания ""простой"" реализации: например, в конце самого первого письма/чата в ХХ указывать: ""Если Вы ответили на это письмо, то автоматически соглашаетесь на обработку перс. данных""
С авито: нужно смотреть API, нужен доп анализ для понимания того, что получится ""вытянуть""

Масс: у многих кандидатов нет почты",,"Офис: но надо
_____
Масс: но надо
_____
Первичные: но надо","Офис: кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.
_____
Масс:
_____
Первичные:","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

В процессах подбора, где используется ПДн кандидата, проверки или хранение согласий, должна быть реализована интеграция с внешней системой Р-конформ (или аналогом):

передача данных кандидата (в рамках согласия);

получение статусов проверок/согласий;

возможность ссылаться на документы/записи, хранящиеся в Р-конформ.",Отправка по нажатию на кнопку в системе,,"Подготовка типовой формы согласия, подписываемой на этапе СБ при проверке.",,,,,,done
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.1. Подготовка документации,2.4.1.1. Формирование согласия на обработку персональных данных,2.4.1.1.2. Актуализация в соответствии с законодательством,Да,"Офис: требуется внедрение Mirapolis
_____
Масс: требуется внедрение Mirapolis",Филимонова,"Офис: подписываем только на этапе СБ, когда идет проверка
_____
Масс: подписываем только на этапе СБ, когда идет проверка
_____
Первичные: подписываем только на этапе СБ, когда идет проверка",,,"Офис: но надо
_____
Масс: но надо
_____
Первичные: но надо","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________0______________","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

В процессах подбора, где используется ПДн кандидата, проверки или хранение согласий, должна быть реализована интеграция с внешней системой Р-конформ (или аналогом):

передача данных кандидата (в рамках согласия);

получение статусов проверок/согласий;

возможность ссылаться на документы/записи, хранящиеся в Р-конформ.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.1. Подготовка документации,2.4.1.1. Формирование согласия на обработку персональных данных,2.4.1.1.3. Указание целей обработки персональных данных,Да,"Офис: требуется внедрение Mirapolis
_____
Масс: требуется внедрение Mirapolis",Филимонова,"Офис: подписываем только на этапе СБ, когда идет проверка
_____
Масс: подписываем только на этапе СБ, когда идет проверка
_____
Первичные: подписываем только на этапе СБ, когда идет проверка",,,"Офис: но надо
_____
Масс: но надо
_____
Первичные: но надо","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________0______________","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

В процессах подбора, где используется ПДн кандидата, проверки или хранение согласий, должна быть реализована интеграция с внешней системой Р-конформ (или аналогом):

передача данных кандидата (в рамках согласия);

получение статусов проверок/согласий;

возможность ссылаться на документы/записи, хранящиеся в Р-конформ.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.1. Подготовка документации,2.4.1.1. Формирование согласия на обработку персональных данных,2.4.1.1.4. Определение срока хранения данных,Да,"Офис: требуется внедрение Mirapolis
_____
Масс: требуется внедрение Mirapolis",Филимонова,"Офис: подписываем только на этапе СБ, когда идет проверка
_____
Масс: подписываем только на этапе СБ, когда идет проверка
_____
Первичные: подписываем только на этапе СБ, когда идет проверка",,,"Офис: но надо
_____
Масс: но надо
_____
Первичные: но надо","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________0______________","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

В процессах подбора, где используется ПДн кандидата, проверки или хранение согласий, должна быть реализована интеграция с внешней системой Р-конформ (или аналогом):

передача данных кандидата (в рамках согласия);

получение статусов проверок/согласий;

возможность ссылаться на документы/записи, хранящиеся в Р-конформ.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.1. Подготовка документации,2.4.1.2. Подготовка политики конфиденциальности,2.4.1.2.1. Описание принципов обработки данных,Да,3. Процесса нет_______________________3. Процесса нет,Филимонова,"Офис: я по крайней мере не в курсе, может и есть
_____
Масс: я по крайней мере не в курсе, может и есть
_____
Первичные: я по крайней мере не в курсе, может и есть",,,"Офис: 
Масс: 
Первичные:",????______________0______________,Требований нет,,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.1. Подготовка документации,2.4.1.2. Подготовка политики конфиденциальности,2.4.1.2.2. Указание прав субъекта персональных данных,Да,3. Процесса нет_______________________3. Процесса нет,Филимонова,"Офис: я по крайней мере не в курсе, может и есть
_____
Масс: я по крайней мере не в курсе, может и есть
_____
Первичные: я по крайней мере не в курсе, может и есть",,,"Офис: 
Масс: 
Первичные:",????______________0______________,Требований нет,,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.1. Подготовка документации,2.4.1.2. Подготовка политики конфиденциальности,2.4.1.2.3. Формирование процедуры отзыва согласия,Да,3. Процесса нет_______________________3. Процесса нет,Филимонова,"Офис: я по крайней мере не в курсе, может и есть
_____
Масс: я по крайней мере не в курсе, может и есть
_____
Первичные: я по крайней мере не в курсе, может и есть",,,"Офис: 
Масс: 
Первичные:",????______________0______________,Требований нет,,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.2. Получение согласия от кандидата,2.4.2.1. Отправка документов кандидату,2.4.2.1.1. Направление формы согласия по электронной почте,Да,3. Процесса нет_______________________3. Процесса нет,Филимонова,рекрутер в момент принятия решения об оформлении на массовке и специалист по адаптации в офисе______________рекрутер в момент принятия решения об оформлении на массовке и специалист по адаптации в офисе______________рекрутер в момент принятия решения об оформлении на массовке и специалист по адаптации в офисе,Относится к обработке ПД,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________0______________",Требований нет,,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.2. Получение согласия от кандидата,2.4.2.1. Отправка документов кандидату,2.4.2.1.2. Предоставление ссылки на политику конфиденциальности,Да,3. Процесса нет_______________________3. Процесса нет,Филимонова,рекрутер в момент принятия решения об оформлении на массовке и специалист по адаптации в офисе______________рекрутер в момент принятия решения об оформлении на массовке и специалист по адаптации в офисе______________рекрутер в момент принятия решения об оформлении на массовке и специалист по адаптации в офисе,,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________0______________",Требований нет,,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.2. Получение согласия от кандидата,2.4.2.1. Отправка документов кандидату,2.4.2.1.3. Информирование о необходимости подписания,Да,3. Процесса нет_______________________3. Процесса нет,Филимонова,рекрутер в момент принятия решения об оформлении на массовке и специалист по адаптации в офисе______________рекрутер в момент принятия решения об оформлении на массовке и специалист по адаптации в офисе______________рекрутер в момент принятия решения об оформлении на массовке и специалист по адаптации в офисе,,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________0______________",Требований нет,,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.2. Получение согласия от кандидата,2.4.2.2. Сбор подписанных документов,2.4.2.2.1. Получение электронной подписи через форму,Частично,1. Есть процесс в компании_______________________1. Есть процесс в компании,Филимонова,"контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик",Реализовано в коробочном решении,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату. Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.2. Получение согласия от кандидата,2.4.2.2. Сбор подписанных документов,2.4.2.2.2. Прием сканированных подписанных документов,Да,1. Есть процесс в компании_______________________1. Есть процесс в компании,Филимонова,"контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик",,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату. Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.2. Получение согласия от кандидата,2.4.2.2. Сбор подписанных документов,2.4.2.2.3. Фиксация даты получения согласия,Да,1. Есть процесс в компании_______________________1. Есть процесс в компании,Филимонова,"контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик",,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату. Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.2. Получение согласия от кандидата,2.4.2.2. Сбор подписанных документов,2.4.2.2.4. Проверка корректности заполнения,Да,1. Есть процесс в компании_______________________1. Есть процесс в компании,Филимонова,"контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик______________контроль со стороны рекрутера, в момоент оформления кадровик",,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату. Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link______________Хотелось бы подгружать данные в систему до оформления через Star Link","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.3. Учет и хранение согласий на обработку персональных данных,2.4.3.1. Регистрация согласий в системе,2.4.3.1.1. Внесение данных в CRM/ATS систему,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Филимонова,мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора,Реализовано в коробочном решении,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________надо собирать______________надо собирать","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.3. Учет и хранение согласий на обработку персональных данных,2.4.3.1. Регистрация согласий в системе,2.4.3.1.2. Привязка документа к профилю кандидата,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Филимонова,мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора,,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________надо собирать______________надо собирать","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.3. Учет и хранение согласий на обработку персональных данных,2.4.3.1. Регистрация согласий в системе,2.4.3.1.3. Установка напоминаний о сроках действия,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Филимонова,мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора,,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________надо собирать______________надо собирать","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.3. Учет и хранение согласий на обработку персональных данных,2.4.3.2. Обеспечение безопасного хранения,2.4.3.2.1. Размещение в защищенном хранилище документов,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Филимонова,мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора,"Хранение реализовано так, что доступ к документам можно давать только определенным ролям. Таким образом, только ответственные лица смогут получить доступ к хранимым данным",,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________надо собирать и хранить ______________надо собирать и хранить","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.3. Учет и хранение согласий на обработку персональных данных,2.4.3.2. Обеспечение безопасного хранения,2.4.3.2.2. Ограничение доступа к персональным данным,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Филимонова,мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора,,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________надо собирать и хранить ______________надо собирать и хранить","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
2. Подбор персонала,2.4. Запрос согласия на обработку персональных данных,2.4.3. Учет и хранение согласий на обработку персональных данных,2.4.3.2. Обеспечение безопасного хранения,2.4.3.2.3. Ведение журнала доступа к персональным данным,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Филимонова,мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора______________мы не регистрируем на этапе подбора,,,"Офис: 
Масс: 
Первичные:","кандидат попадая к нам в базщу получает уведопление простое в мессенжер или почту, кликает о согласии согласие подгружается к кмандидату.______________надо собирать и хранить ______________надо собирать и хранить","QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).

PR20. Фиксация согласий кандидата: обработка ПДн (ФЗ-152), псих. тестирование, полиграф, кредитная история (желательно хранить текст и дату).

PR38. Возможность прикрепить в карточку кандидата: анкету, направление на медосмотр, результаты медосмотра, результаты проверки ДБ и др. документы.",,,,,,,,,
