L1,L2,L3,L4,L5,Mirapolis L4,"Ответ Агроэко L4 в «Агроэко»
2. Подбор персонала,2.5. Первичное интервью,2.5.1. Планирование и подготовка интервью,2.5.1.1. Отбор кандидатов для интервью,2.5.1.1.1. Занесение релевантных кандидатов в базу (ATS/CRM),Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Борискина Е.Н.,Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует,"Офис: программа отбирает с HH по определенным параметрам кандидатов и передает в базу ""Интервью с рекрутером"". Программа отвечает в канве заданных параметров (Cookie)
Комментарий от Ильи Ефимова: кандидат должен передаваться со статусом ""Отобран"", а уже потом нужно запрашивать ПДн, после чего планировать интервью. Процесс реализуем с помощью разработки
",,"Офис: вручную
Масс: 
Первичные:","первичный отбор с помощью AI ассистента, подгружение в базу с диалогами, назначение теплых и соответсвующих рекрутеру в календарь с учетом свободны окон и возможностей кандидата. Проговорить возможность формирование ссылки для интевью в рконые и погружение жтой ссылки во встречу______________0______________","PR13. Хранение профиля кандидата: интересующая должность, ФИО, дата рождения, контакты, гражданство, опыт, навыки и т.п.
PR14. Несколько учебных заведений со специальностью.
PR15. Данные о водительских правах, удостоверении тракториста-машиниста и др.
PR16. Несколько мест работы: периоды, организация, должность, обязанности, причина увольнения, уровень зарплаты.
PR17. Учёт: группа инвалидности, наличие свиней в ЛПХ (для агрохолдинга), семейное положение, воинская обязанность, судимости, админ.ответственность, вакцинация от COVID-19.
PR18. Блок о ближайших родственниках и родстве с сотрудниками компании.
QA1. Блок «Общие сведения» (интересующая должность, ФИО, ФИО до смены, паспортные данные, адреса, телефоны, e-mail, ИНН, гражданство и т.п.).
QA2. Основное образование (уровень + табличный блок «период — вуз — факультет/специальность — № диплома, дата»).
QA3. Дополнительное образование (таблица «период — организация — тема/специализация»).
QA4. Профессиональные навыки (ПК, иностранные языки и др.).
QA5. Блок про рекомендателя (кто порекомендовал, степень родства, ФИО, место работы, должность).
QA6. Свободное текстовое поле «Дополнительная информация о Вас, успехи, достижения» + источник обращения (газета, радио, интернет, сайт, служба занятости, рекомендации и т.п.).
QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.1. Планирование и подготовка интервью,2.5.1.1. Отбор кандидатов для интервью,2.5.1.1.2. Ранжирование кандидатов по приоритету,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Борискина Е.Н.,Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует,,,"Офис: вручную
Масс: 
Первичные:","первичный отбор с помощью AI ассистента, подгружение в базу с диалогами, назначение теплых и соответсвующих рекрутеру в календарь с учетом свободны окон и возможностей кандидата. Проговорить возможность формирование ссылки для интевью в рконые и погружение жтой ссылки во встречу______________0______________","PR13. Хранение профиля кандидата: интересующая должность, ФИО, дата рождения, контакты, гражданство, опыт, навыки и т.п.
PR14. Несколько учебных заведений со специальностью.
PR15. Данные о водительских правах, удостоверении тракториста-машиниста и др.
PR16. Несколько мест работы: периоды, организация, должность, обязанности, причина увольнения, уровень зарплаты.
PR17. Учёт: группа инвалидности, наличие свиней в ЛПХ (для агрохолдинга), семейное положение, воинская обязанность, судимости, админ.ответственность, вакцинация от COVID-19.
PR18. Блок о ближайших родственниках и родстве с сотрудниками компании.
QA1. Блок «Общие сведения» (интересующая должность, ФИО, ФИО до смены, паспортные данные, адреса, телефоны, e-mail, ИНН, гражданство и т.п.).
QA2. Основное образование (уровень + табличный блок «период — вуз — факультет/специальность — № диплома, дата»).
QA3. Дополнительное образование (таблица «период — организация — тема/специализация»).
QA4. Профессиональные навыки (ПК, иностранные языки и др.).
QA5. Блок про рекомендателя (кто порекомендовал, степень родства, ФИО, место работы, должность).
QA6. Свободное текстовое поле «Дополнительная информация о Вас, успехи, достижения» + источник обращения (газета, радио, интернет, сайт, служба занятости, рекомендации и т.п.).
QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.1. Планирование и подготовка интервью,2.5.1.1. Отбор кандидатов для интервью,2.5.1.1.3. Формирование списка на первичное интервью,Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Борискина Е.Н.,Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует,,,"Офис: вручную
Масс: 
Первичные:","первичный отбор с помощью AI ассистента, подгружение в базу с диалогами, назначение теплых и соответсвующих рекрутеру в календарь с учетом свободны окон и возможностей кандидата. Проговорить возможность формирование ссылки для интевью в рконые и погружение жтой ссылки во встречу______________0______________","PR13. Хранение профиля кандидата: интересующая должность, ФИО, дата рождения, контакты, гражданство, опыт, навыки и т.п.
PR14. Несколько учебных заведений со специальностью.
PR15. Данные о водительских правах, удостоверении тракториста-машиниста и др.
PR16. Несколько мест работы: периоды, организация, должность, обязанности, причина увольнения, уровень зарплаты.
PR17. Учёт: группа инвалидности, наличие свиней в ЛПХ (для агрохолдинга), семейное положение, воинская обязанность, судимости, админ.ответственность, вакцинация от COVID-19.
PR18. Блок о ближайших родственниках и родстве с сотрудниками компании.
QA1. Блок «Общие сведения» (интересующая должность, ФИО, ФИО до смены, паспортные данные, адреса, телефоны, e-mail, ИНН, гражданство и т.п.).
QA2. Основное образование (уровень + табличный блок «период — вуз — факультет/специальность — № диплома, дата»).
QA3. Дополнительное образование (таблица «период — организация — тема/специализация»).
QA4. Профессиональные навыки (ПК, иностранные языки и др.).
QA5. Блок про рекомендателя (кто порекомендовал, степень родства, ФИО, место работы, должность).
QA6. Свободное текстовое поле «Дополнительная информация о Вас, успехи, достижения» + источник обращения (газета, радио, интернет, сайт, служба занятости, рекомендации и т.п.).
QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.1. Планирование и подготовка интервью,2.5.1.1. Отбор кандидатов для интервью,2.5.1.1.4. Определение формата интервью (телефон/видео/очно),Да,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Борискина Е.Н.,Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует,,,"Офис: вручную
Масс: 
Первичные:","первичный отбор с помощью AI ассистента, подгружение в базу с диалогами, назначение теплых и соответсвующих рекрутеру в календарь с учетом свободны окон и возможностей кандидата. Проговорить возможность формирование ссылки для интевью в рконые и погружение жтой ссылки во встречу______________0______________","PR13. Хранение профиля кандидата: интересующая должность, ФИО, дата рождения, контакты, гражданство, опыт, навыки и т.п.
PR14. Несколько учебных заведений со специальностью.
PR15. Данные о водительских правах, удостоверении тракториста-машиниста и др.
PR16. Несколько мест работы: периоды, организация, должность, обязанности, причина увольнения, уровень зарплаты.
PR17. Учёт: группа инвалидности, наличие свиней в ЛПХ (для агрохолдинга), семейное положение, воинская обязанность, судимости, админ.ответственность, вакцинация от COVID-19.
PR18. Блок о ближайших родственниках и родстве с сотрудниками компании.
QA1. Блок «Общие сведения» (интересующая должность, ФИО, ФИО до смены, паспортные данные, адреса, телефоны, e-mail, ИНН, гражданство и т.п.).
QA2. Основное образование (уровень + табличный блок «период — вуз — факультет/специальность — № диплома, дата»).
QA3. Дополнительное образование (таблица «период — организация — тема/специализация»).
QA4. Профессиональные навыки (ПК, иностранные языки и др.).
QA5. Блок про рекомендателя (кто порекомендовал, степень родства, ФИО, место работы, должность).
QA6. Свободное текстовое поле «Дополнительная информация о Вас, успехи, достижения» + источник обращения (газета, радио, интернет, сайт, служба занятости, рекомендации и т.п.).
QA7. Электронная фиксация согласия кандидата (ФИО, дата рождения, текст согласия на обработку ПДн, полиграф, кредитную историю и пр., дата, подпись).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.1. Планирование и подготовка интервью,2.5.1.2. Назначение встречи,2.5.1.2.1. Отправка приглашения кандидату,Да,4. Не актуально/реализовано в другой системе_______________________4. Не актуально/реализовано в другой системе,Борискина Е.Н.,Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует,"Нажимая на кнопку ""Запланировать"" - все уведомления (кастомизированные) уходят адресатам

Масс: не планируется использование Р-Конф, но необходимо какое-либо уведомление

Комментарий Axenix: можно разделять с помощью разных конпок: Запланировать в Р-Конф, Запланировать внешне",,"Офис: 
Масс: 
Первичные:",Отправка ссылки на интервью в рконф кандидату с подтвердением встречи и пуш за 1 день до собеседования и за 1 час______________0______________,"PR21. Планирование и фиксация собеседований: дата/время, факт проведения, краткий результат (решение руководителя).
PR32. Планирование и фиксация встреч/созвонов рекрутера с заказчиком (в т.ч. первый бриф по новой заявке).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.1. Планирование и подготовка интервью,2.5.1.2. Назначение встречи,2.5.1.2.2. Согласование удобного времени,Да,4. Не актуально/реализовано в другой системе_______________________4. Не актуально/реализовано в другой системе,Борискина Е.Н.,Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует,,,"Офис: 
Масс: 
Первичные:",Отправка ссылки на интервью в рконф кандидату с подтвердением встречи и пуш за 1 день до собеседования и за 1 час______________0______________,"PR21. Планирование и фиксация собеседований: дата/время, факт проведения, краткий результат (решение руководителя).
PR32. Планирование и фиксация встреч/созвонов рекрутера с заказчиком (в т.ч. первый бриф по новой заявке).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.1. Планирование и подготовка интервью,2.5.1.2. Назначение встречи,2.5.1.2.3. Отправка календарного приглашения,Да,4. Не актуально/реализовано в другой системе_______________________4. Не актуально/реализовано в другой системе,Борискина Е.Н.,Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует,,,"Офис: 
Масс: 
Первичные:",Отправка ссылки на интервью в рконф кандидату с подтвердением встречи и пуш за 1 день до собеседования и за 1 час______________0______________,"PR21. Планирование и фиксация собеседований: дата/время, факт проведения, краткий результат (решение руководителя).
PR32. Планирование и фиксация встреч/созвонов рекрутера с заказчиком (в т.ч. первый бриф по новой заявке).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.1. Планирование и подготовка интервью,2.5.1.2. Назначение встречи,2.5.1.2.4. Направление ссылки на видеоконференцию (при необходимости),Да,4. Не актуально/реализовано в другой системе_______________________4. Не актуально/реализовано в другой системе,Борискина Е.Н.,Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует,,,"Офис: 
Масс: 
Первичные:",Отправка ссылки на интервью в рконф кандидату с подтвердением встречи и пуш за 1 день до собеседования и за 1 час______________0______________,"PR21. Планирование и фиксация собеседований: дата/время, факт проведения, краткий результат (решение руководителя).
PR32. Планирование и фиксация встреч/созвонов рекрутера с заказчиком (в т.ч. первый бриф по новой заявке).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.1. Планирование и подготовка интервью,2.5.1.2. Назначение встречи,2.5.1.2.5. Отправка напоминания за день до встречи,Да,4. Не актуально/реализовано в другой системе_______________________4. Не актуально/реализовано в другой системе,Борискина Е.Н.,Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует______________Рекрутер всем звонит договаривается и назначает интервью. Информирует,,,"Офис: 
Масс: 
Первичные:",Отправка ссылки на интервью в рконф кандидату с подтвердением встречи и пуш за 1 день до собеседования и за 1 час______________0______________,"PR21. Планирование и фиксация собеседований: дата/время, факт проведения, краткий результат (решение руководителя).
PR32. Планирование и фиксация встреч/созвонов рекрутера с заказчиком (в т.ч. первый бриф по новой заявке).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.2. Проведение телефонного интервью (скрининга),2.5.2.1. Верификация базовой информации,2.5.2.1.1. Подтверждение данных из резюме,Частично,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Борискина Е.Н.,Рекрутер______________Рекрутер и СИЦ______________Рекрутер и СИЦ,Предусмотрено как событие подбора,,"Офис: 
Масс: 
Первичные:","первичный отбор с помощью AI ассистента, подгружение в базу с диалогами, назначение теплых и соответсвующих рекрутеру в календарь с учетом свободны окон и возможностей кандидата. Проговорить возможность формирование ссылки для интевью в рконые и погружение жтой ссылки во встречу. Далее рекртуер проводит интевью с подробным рассказом о вакансии и выяснению компетенций и соотвествую каниддата профилю заказчика. Интервью проводится на плозадке рконы, резюме интервью разносится в соответсвующие полян и привязывается к карточке кандидата______________0______________","PR31. Набор статусов/этапов по кандидату (отклик, скрининг, интервью рекрутера, интервью заказчика, тест, медосмотр, оффер, выход, отказ и т.п.) с возможностью менять.
PR33. Регистрация факта первичного контакта рекрутера с кандидатом (дата, ключевые вопросы/ответы) до отправки резюме заказчику.
PR35. Место для фиксации обратной связи заказчика по кандидатам и уточнения требований (в заявке/вакансии или карточке кандидата).
1. Карточка кандидата должна быть единой для разных HR-процессов (подбор, кадровый резерв, оценка, обучение) без дублирования данных.
2. Хранить персональные данные, контакты, текущее место работы, статус, результаты интервью и тестов, договорённости, историю коммуникаций.
3. Кандидат может быть привязан сразу к нескольким вакансиям, а в карточке должна отражаться история по каждой (статусы, этапы, результаты).
4. Проверка корректности данных (телефон, email и т.п.), отслеживание согласия на обработку ПДн. При переводе кандидата в статус сотрудника — связка с кадровым контуром и 1С/ЗУП (или аналогом).
По результатам скрининга кандидат переводится в статус:
«Проведено интервью с рекрутером»
с обязательным указанием подстатуса:одобрен;отклонён;самоотказ;неявка.Эти статусы используются дальше в аналитике (конверсии, причины отказов, TTH/TTF).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.2. Проведение телефонного интервью (скрининга),2.5.2.1. Верификация базовой информации,2.5.2.1.2. Проверка опыта работы и достижений,Частично,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Борискина Е.Н.,Рекрутер______________Рекрутер и СИЦ______________Рекрутер и СИЦ,,,"Офис: 
Масс: 
Первичные:","первичный отбор с помощью AI ассистента, подгружение в базу с диалогами, назначение теплых и соответсвующих рекрутеру в календарь с учетом свободны окон и возможностей кандидата. Проговорить возможность формирование ссылки для интевью в рконые и погружение жтой ссылки во встречу. Далее рекртуер проводит интевью с подробным рассказом о вакансии и выяснению компетенций и соотвествую каниддата профилю заказчика. Интервью проводится на плозадке рконы, резюме интервью разносится в соответсвующие полян и привязывается к карточке кандидата______________0______________","PR31. Набор статусов/этапов по кандидату (отклик, скрининг, интервью рекрутера, интервью заказчика, тест, медосмотр, оффер, выход, отказ и т.п.) с возможностью менять.
PR33. Регистрация факта первичного контакта рекрутера с кандидатом (дата, ключевые вопросы/ответы) до отправки резюме заказчику.
PR35. Место для фиксации обратной связи заказчика по кандидатам и уточнения требований (в заявке/вакансии или карточке кандидата).
1. Карточка кандидата должна быть единой для разных HR-процессов (подбор, кадровый резерв, оценка, обучение) без дублирования данных.
2. Хранить персональные данные, контакты, текущее место работы, статус, результаты интервью и тестов, договорённости, историю коммуникаций.
3. Кандидат может быть привязан сразу к нескольким вакансиям, а в карточке должна отражаться история по каждой (статусы, этапы, результаты).
4. Проверка корректности данных (телефон, email и т.п.), отслеживание согласия на обработку ПДн. При переводе кандидата в статус сотрудника — связка с кадровым контуром и 1С/ЗУП (или аналогом).
По результатам скрининга кандидат переводится в статус:
«Проведено интервью с рекрутером»
с обязательным указанием подстатуса:одобрен;отклонён;самоотказ;неявка.Эти статусы используются дальше в аналитике (конверсии, причины отказов, TTH/TTF).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.2. Проведение телефонного интервью (скрининга),2.5.2.1. Верификация базовой информации,2.5.2.1.3. Уточнение образования и квалификации,Частично,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Борискина Е.Н.,Рекрутер______________Рекрутер и СИЦ______________Рекрутер и СИЦ,,,"Офис: 
Масс: 
Первичные:","первичный отбор с помощью AI ассистента, подгружение в базу с диалогами, назначение теплых и соответсвующих рекрутеру в календарь с учетом свободны окон и возможностей кандидата. Проговорить возможность формирование ссылки для интевью в рконые и погружение жтой ссылки во встречу. Далее рекртуер проводит интевью с подробным рассказом о вакансии и выяснению компетенций и соотвествую каниддата профилю заказчика. Интервью проводится на плозадке рконы, резюме интервью разносится в соответсвующие полян и привязывается к карточке кандидата______________0______________","PR31. Набор статусов/этапов по кандидату (отклик, скрининг, интервью рекрутера, интервью заказчика, тест, медосмотр, оффер, выход, отказ и т.п.) с возможностью менять.
PR33. Регистрация факта первичного контакта рекрутера с кандидатом (дата, ключевые вопросы/ответы) до отправки резюме заказчику.
PR35. Место для фиксации обратной связи заказчика по кандидатам и уточнения требований (в заявке/вакансии или карточке кандидата).
1. Карточка кандидата должна быть единой для разных HR-процессов (подбор, кадровый резерв, оценка, обучение) без дублирования данных.
2. Хранить персональные данные, контакты, текущее место работы, статус, результаты интервью и тестов, договорённости, историю коммуникаций.
3. Кандидат может быть привязан сразу к нескольким вакансиям, а в карточке должна отражаться история по каждой (статусы, этапы, результаты).
4. Проверка корректности данных (телефон, email и т.п.), отслеживание согласия на обработку ПДн. При переводе кандидата в статус сотрудника — связка с кадровым контуром и 1С/ЗУП (или аналогом).
По результатам скрининга кандидат переводится в статус:
«Проведено интервью с рекрутером»
с обязательным указанием подстатуса:одобрен;отклонён;самоотказ;неявка.Эти статусы используются дальше в аналитике (конверсии, причины отказов, TTH/TTF).",,,,,,,,,
2. Подбор персонала,2.5. Первичное интервью,2.5.2. Проведение телефонного интервью (скрининга),2.5.2.1. Верификация базовой информации,2.5.2.1.4. Выяснение причин смены работы,Частично,требуется внедрение Mirapolis_______________________требуется внедрение Mirapolis,Борискина Е.Н.,Рекрутер______________Рекрутер и СИЦ______________Рекрутер и СИЦ,,,"Офис: 
Масс: 
Первичные:","первичный отбор с помощью AI ассистента, подгружение в базу с диалогами, назначение теплых и соответсвующих рекрутеру в календарь с учетом свободны окон и возможностей кандидата. Проговорить возможность формирование ссылки для интевью в рконые и погружение жтой ссылки во встречу. Далее рекртуер проводит интевью с подробным рассказом о вакансии и выяснению компетенций и соотвествую каниддата профилю заказчика. Интервью проводится на плозадке рконы, резюме интервью разносится в соответсвующие полян и привязывается к карточке кандидата______________0______________","PR31. Набор статусов/этапов по кандидату (отклик, скрининг, интервью рекрутера, интервью заказчика, тест, медосмотр, оффер, выход, отказ и т.п.) с возможностью менять.
PR33. Регистрация факта первичного контакта рекрутера с кандидатом (дата, ключевые вопросы/ответы) до отправки резюме заказчику.
PR35. Место для фиксации обратной связи заказчика по кандидатам и уточнения требований (в заявке/вакансии или карточке кандидата).
1. Карточка кандидата должна быть единой для разных HR-процессов (подбор, кадровый резерв, оценка, обучение) без дублирования данных.
2. Хранить персональные данные, контакты, текущее место работы, статус, результаты интервью и тестов, договорённости, историю коммуникаций.
3. Кандидат может быть привязан сразу к нескольким вакансиям, а в карточке должна отражаться история по каждой (статусы, этапы, результаты).
4. Проверка корректности данных (телефон, email и т.п.), отслеживание согласия на обработку ПДн. При переводе кандидата в статус сотрудника — связка с кадровым контуром и 1С/ЗУП (или аналогом).
По результатам скрининга кандидат переводится в статус:
«Проведено интервью с рекрутером»
с обязательным указанием подстатуса:одобрен;отклонён;самоотказ;неявка.Эти статусы используются дальше в аналитике (конверсии, причины отказов, TTH/TTF).",,,,,,,,,
